■ (단타) [분]당일주도종목_체결강도상승

지표	내용
A	증감연속봉수:[1분]주기 1봉기준 당일 체결강도 연속 증가
B	증감연속봉수:[1분]주기 1봉기준 5이평 체결강도 연속 증가
C	체결강도 100.0%이상 1000.0%이하
D	주가등락률:[일]1봉전(중) 종가대비 0봉전 종가등락률 2%이상
E	주가등락률:[일]0봉전(중) 시가대비 0봉전 종가등락률 1%이상
F	거래량 순위 상위 100
G	거래대금 순위 상위 100
H	[일]거래대금(일:백만, 분:천) 1000이상 999999999이하
I	시가총액:현재가기준 700십억원 이상 5000십억원 이하
J	증감연속봉수:[1분]주기 1봉기준 5이평 체결강도 연속 증가
	
(A and B and C) and (D and E) and ((F or G) and H) and I and J	

