■ (종베) [일]신저가후_양봉반등

지표	내용
A	기간내 등락률:[일]0봉전 20봉이내에서 저가대비고가 20% 이상
B	신저가:[일]0봉전 저가가 2봉이내 20봉 신저가 발생
C	신고가:[일]0봉전 종가가 3봉중 신고가
D	주가등락률:[일]1봉전(중) 종가대비 0봉전 종가등락률 1%이상
E	주가등락률:[일]0봉전(중) 시가대비 0봉전 종가등락률 1%이상
F	[일]거래대금(일:백만, 분:천) 1000이상 999999999이하
G	거래량비율(n봉):[일]1봉전 거래량 대비 0봉전 거래량 비율 200%이상
	
(A and B) and (C and D and E) and (F and G)	
